item_id,riasec_type,item_text
1,R,I enjoy working with tools
2,R,I prefer hands-on activities
3,R,I like fixing or building things
4,R,I am interested in mechanical work
5,I,I enjoy solving complex problems
6,I,I like scientific experiments
7,I,I enjoy analyzing data
8,I,I like logical reasoning
9,A,I enjoy creative expression
10,A,I prefer freedom and originality
11,A,I enjoy creating content
12,A,I am interested in creative careers
13,S,I enjoy helping people
14,S,I like working with others
15,S,I feel fulfilled supporting others
16,S,I like community service
17,E,I enjoy leading others
18,E,I am interested in business
19,E,I like persuading people
20,E,I enjoy making decisions
21,C,I like organizing data
22,C,I prefer structured tasks
23,C,I am comfortable with numbers
24,C,I enjoy planning tasks
